"state","chapter","url","sig","text"
"AZ","arizona","https://arizona.corenetglobal.org/about/board","0","Skip to main content (Press Enter). | Sign in | Skip auxiliary navigation (Press Enter). | CONTACT US | POLICIES | CORENET GLOBAL | Skip main navigation (Press Enter). | Toggle navigation | PAGE NOT FOUND |  | Sorry! The page you requested was not found. | ©CoreNet Global All Rights Reserved | Powered by Higher Logic | Live Chat"
"NC","carolinas","https://carolinas.corenetglobal.org/about/chapterleaders","35","Skip to main content (Press Enter). | Login | Skip auxiliary navigation (Press Enter). | Skip main navigation (Press Enter). | Toggle navigation | CHAPTER LEADERS |  | The Carolinas chapter leadership comes from a variety of driven, self-motivating members who volunteer their time in specific board capacities. |  |  |  |  | 	 |  | President |  | Ben Bailey | JLL |  |  | 	 |  |   |  | 	 |  | Vice President |  | Kent Holliday | Vanguard |  |  |  | 	 |  | Treasurer |  | Donald Haunert | BHDP |  |  | 	 | 	 |  | Secretary |  | Anna DeShazier | CBRE  |  |  |  | 	 |  | Past President |  | Harold Hicks |  |  | RTI International |  |   |  | 	 |  | 	 |  | Networking- Raleigh |  | Carolyn Coia | RTF |  |   |  |  |  | 	 |  | Programs - Charlotte Region |  | Scarlet Powell | Cenero |  |   |  | 	 |  | 	 |  | End-User Engagement |  | Patrick Hoffman | Syneos  |  |   |  |  |  |  | 	 |  | Sponsorships |  | Benton Albritton | Dirtt Environmental Solutions |  |   |  | 	 |  | 	 |  | Engagement |  | Jacob Woodbury | Asurion |  |   |  |  |  | 	 |  | Communication |  | Matthew Johnson | Dell |  |   |  | 	 |  | 	 |  | Programs-Raleigh |  | Mike Kriston |  | 35 North |  |   |  |  |  | 	 |  | End-User Engagement |  | Tonya Brandon |  | TIAA |  | 	 | 	 |  | Hybrid Experience |  | John Kline | CBI Workplace Solutions |  |   |  |  |  | 	 |  | Content              |  | Jessica Pearson |  | LS3P |  | 	 |  | 	 |  | Membership |  | Hana Dorani |  | MillerKnoll |  |  |  |  |  | 	 |  | Special Events |  | Jay Maag |  | JLL |  | 	 | 	 |  | Young Leaders | University Relations |  | Austen Thompson |  |  | Hilldrup |  |  |  |  |  | 	 |  | Networking- Charlotte |  | Terry Martin |  | Goodwill Industries |  | 	 |  |   |  | 	 |  |  |  |  |                                                                                                               |  |   |  |                     |  |     | Powered by Higher Logic"
"CO","colorado","https://colorado.corenetglobal.org/about/board","0","Skip to main content (Press Enter). | Sign in | Skip auxiliary navigation (Press Enter). | CONTACT US | POLICIES | CORENET GLOBAL | Skip main navigation (Press Enter). | Toggle navigation | PAGE NOT FOUND |  | Sorry! The page you requested was not found. | ©CoreNet Global All Rights Reserved | Powered by Higher Logic | Live Chat"
"CT","connwestch","https://connwestch.corenetglobal.org/about/leadership","125","Skip to main content (Press Enter). | Login to see members only content | Skip auxiliary navigation (Press Enter). | Contact Us | Policies | Renew | Knowledge Center | Skip main navigation (Press Enter). | Toggle navigation | Chapter Leadership |  | Executive Committee |  |  | 	 |  | Chapter President  |  | Andrea Tobias | Associate Vice President | HGA |  | 	 |  | Executive Vice President  |  | Larry Wolfert | Global Workplace Solutions | CBRE |  |  | 	 |  | Secretary |  | Emily Ransone | Co-Owner and Principal | SideMark |  | 	 |  | Treasurer  |  | Shaun Scrivens | Manager, Workplace Strategy and Execution | McAfee |  | 	 |  | Administrative Director |  | Ernst Calais | Regional Director | Adobe |  | 	 |  | Director at Large |  | Roxanne Bell | Vice President of Sales, Northern California | APEX Surface Care |  |  | 	 |  | Director at Large |  | Raffy Espiritu | President and CEO | Impec Group |  |  | 	 |  | Immediate Past President |  | Robert Teed | Vice President, Real Estate and Workplace | ServiceNow |  |  | Leadership Committee |  |  | 	 |  | CAP Program Co-Chair |  | Nick DeMartini | Advisory & Transaction Services | CBRE |  | 	 |  | CAP Program Co-Chair  |  | Jackie Teer | PREP Associate | Cushman & Wakefield |  | 	 |  | Communications Committee Co-Chair |  | Kris McFarland-Werner | Executive Director | AIA Silicon Valley |  |  | 	 |  | Communications Committee Co-Chair |  | Mark Burriss | Director, Facilities & Real Estate | Singularity University |  |  | 	 |  | Membership Committee Co-Chair |  | Cyndi Inneckin | Global Accounts Executive | Haworth |  |  | 	 |  | Membership Committee Co-Chair |  | Shap Roder | Senior Vice President | CBRE |  | 	 |  | Program Committee Co-Chair |  | Julia Campbell | Partner | QUEZADA Architecture |  | 	 |  | Program Committee Co-Chair |  | Ylva Sandberg | Account Operations Director | CBRE |  | 	 |  |  SF Special Interest Group Co-Chair |  |  Nasim Yalpani MCR, AIA, LEED AP |  Head of Real Estate, Workplace Services,       Physical Security & EHS   |  Dropbox |  |  | 	 |  | SF Special Interest Group Co-Chair |  |  |  | Pierce Neinken | Global Portfolio Manager | Airbnb |  |  |  |  |  | 	 |  |   Social Media SIG Co-Chair |  |    Idy Li |    Project Coordinator |    JLL |  |  | 	 |  |  Social Media SIG Co-Chair |  |   McKenna Schott |   Marketing Manager |   Source Planning & Construction |  |  |  |  | 	 |  | Special Events Committee Co-Chair |  | Justin Kenyon | Senior Managing Director | JLL |  |  | 	 |  | Special Events Committee Co-Chair |  | Melenie Llorin | Senior Director of Global Accounts | OfficeNetworks |  |  | 	 |  | Sponsorship Committee Co-Chair |  | Cliff Berry | VP Americas Real Estate and Facilities | Visa |  |  | 	 |  | Sponsorship Committee Co-Chair |  | Elizabeth Monti | Principal, Corporate Business Development | AlfaTech |  | 	 |  | Technology SIG Co-Chair |  | Michael Pereira | Sr Director, Americas Workplace Resources | Cisco |  | 	 |  | Technology SIG Co-Chair |  | Kari Pope | Director | BlackRock |  |  | 	 |  | Women of CoreNet Co-Chair |  | Nancy Morse | Senior Managing Director, | Global Corporate Services | Newmark Knight Frank |  | 	 |  | Women of CoreNet Co-Chair |  | Laurie Orlov | Workplace Manager | VMWare |  | 	 |  | Women of CoreNet Co-Chair |  | Soraya Farrah |  |  |  |  |  |  | 	 |  | Young Leaders Co-Chair |  | Donnie Karlin | Business Development Director | CRI |  |  | 	 |  | Young Leaders Co-Chair |  | Cameron Love | Senior Vice President | Hughes Marino |  |  |  |  |  |  |  | Copyright © 2026 CoreNet Global Connecticut Westchester Chapter. All rights reserved. |  |  | CoreNet Global,  | CT/W Chapter | connwestchapter@corenetglobal.org  |  | 606 Post Road East #646 | Westport, CT 06880 |  |  | (203) 826-2015 |  | Home | Programs & Events | Chapter Events | CoreNet Global Events | Past Events | Leadership | Executive Committee | Board of Directors | Programs and Special Events Committee | Membership Committee | Diversity, Equity, and Inclusion Committee | Young Leaders Committee | Sponsorship Committee | Real Advantage Committee | Membership | Become a Member | Renew Membership | Trial Membership | Member Benefits | Member Spotlight | FAQ | Sponsorship | Current Sponsors | Sponsor Opportunities | Real Advantage | About | About CoreNet Global | About CoreNet Connecticut Westchester | Profile | © 2020 CoreNet Global Connecticut Westchester Chapter. All Rights Reserved. | Live Chat"
"MO","kansascity","https://kansascity.corenetglobal.org/about/board","0","Skip to main content (Press Enter). | Sign in | Skip auxiliary navigation (Press Enter). | CONTACT US | POLICIES | CORENET GLOBAL | Skip main navigation (Press Enter). | Toggle navigation | PAGE NOT FOUND |  | Sorry! The page you requested was not found. | ©CoreNet Global All Rights Reserved | Powered by Higher Logic | Live Chat"
"DC","midatlantic","https://midatlantic.corenetglobal.org/about/board","0","Skip to main content (Press Enter). | Sign in | Skip auxiliary navigation (Press Enter). | CONTACT US | POLICIES | CORENET GLOBAL | Skip main navigation (Press Enter). | Toggle navigation | PAGE NOT FOUND |  | Sorry! The page you requested was not found. | ©CoreNet Global All Rights Reserved | Powered by Higher Logic | Live Chat"
"MN","midwest","https://midwest.corenetglobal.org/about/chapterleaders","80","Skip to main content (Press Enter). | Login to see members only content | Skip auxiliary navigation (Press Enter). | Contact Us | CoreNet Global | Knowledge Center | Policies | Renew | Skip main navigation (Press Enter). | Toggle navigation | Chapter Leaders | The Midwest Chapter leadership comes from a variety of driven, self-motivating members who volunteer their time in specific board capacities.  |  | Meet your 2026 Board of Directors: |  |   |  | Frank Sherwood, President |  |  | CBRE |  |  | __________________________________________________________________________________ |  |  | Shelly Rosett, Executive Vice President of Finance (President Elect) | Michaud Cooley |  | ____________________________________________________________________________________ |  |  | Kristine Fisher, Past-President | Jack Henry |  | ____________________________________________________________________________________ |  |    |  |  | Emily Marden, Secretary | BDH |  | ____________________________________________________________________________________ |  |   | Kallie Taylor, Vice President - Communications |  | Spectrum Interiors |  | ___________________________________________________________________________________ |  |  |  | Kyle Johnson, Vice President - Community Outreach |  | JE Dunn |  | ___________________________________________________________________________________ |  |  | Nate Nemmers, Vice President - Membership |  | Parameters |  | ___________________________________________________________________________________ |  |  | Laura Moore, Vice President - Professional Development/End User Engagement | Frauenshuh |  |  ____________________________________________________________________________________ |  | Matt Grynol, Vice President - Programs |  |  | MillerKnoll |  | _____________________________________________________________________________             |  |  | Kelli Newman, Vice President - Sponsorship | J+J Flooring | ________________________________________________________________________________             |  |  | Taylor White,Vice President - University Outreach | Ameriprise |  | ____________________________________________________________________________________ |  | Brad Nemetz, Vice President - Young Leaders |  | Meso |  |  | ____________________________________________________________________________________ |  | Chapter Administrator |  |  | Jordan Grote, Chapter Administrator  | Jordan works at Jaffe Management and can be reached at 952.564.3079 |  | ____________________________________________________________________________________ |  | CoreNet Global Midwest Chapter Past Chapter Presidents: |  | Ann Brown 2002-2004 |  | Dave Foley 2004-2005 |  | Linda Larson 2005-2006 |  | Lana Weber 2006-2007 |  | Clint Baer 2007-2008 |  | Nancy Miller 2008-2009 |  | Julie Luers 2009-2010 |  | Cathy Schmidt 2010-2011 |  | Marcia Droege 2011-2012 |  | Susan Carlson-Weinberg 2012-2013 |  | Ann Hansen 2013-2014 |  | Ned Tarbox 2014-2015 |  | Josh Stowers 2016 |  | Duane Spiegle- 2017 |  | Nick Kock- 2018 |  | Rome Poppler- 2019 |  | Melissa Jancourt- 2020 |  | Jeff LaFavre- 2021 |  | Todd Messerli- 2022 |  | Gordon Wright- 2023 | Janice Linster- 2024 | Kristine Fisher- 2025 |  |   |  | Home | Directory | About | Career Resources | CoreNet Global Fast Facts | Midwest Chapter Fast Facts | Strategic Plan | Midwest Chapter Bylaws | Membership | Join | Trial Membership | Benefits | Directory | My Profile | Community Outreach | Young Leaders | Leadership | Board Library | Chapter Leaders | Committees | Sponsorship | Become a Sponsor | 2026 Sponsors | Events | Past Programs | Our Events | Best of CoreNet Midwest | Powered by Higher Logic | Live Chat"
"OR","oregon","https://oregon.corenetglobal.org/about/board","0","Skip to main content (Press Enter). | Sign in | Skip auxiliary navigation (Press Enter). | CONTACT US | POLICIES | CORENET GLOBAL | Skip main navigation (Press Enter). | Toggle navigation | PAGE NOT FOUND |  | Sorry! The page you requested was not found. | ©CoreNet Global All Rights Reserved | Powered by Higher Logic | Live Chat"
"CA","socal","https://socal.corenetglobal.org/leadership","31","Skip to main content (Press Enter). | Login to see members only content | Skip auxiliary navigation (Press Enter). | Contact Us | Policies | Renew | Knowledge Center | Logout | Skip main navigation (Press Enter). | Toggle navigation | Chapter Committees |  |  | Programs and Events |  |  | Executive Committee |  | Board of Directors |  |  |  |  |  | Copyright © Southern California. All rights reserved. |  |  |  | Hours: | M - Th 9:00 am - 4:00 pm | F 9:00 am - 1:00 pm |  | 22287 Mulholland Highway #5806 | Calabasas, CA, 91302 | southerncalifornia@corenetglobal.org |  |  |     | Home | Membership | Join | Renew | Membership Benefits | Volunteer | Career Transition Resources | FAQ | Scholarships | NextGen CRE Scholars Fund | Membership Scholarships | Programs & Events | CRE Academy: Living & Leading with Intention | Upcoming Events | REmmy Awards | Annual Golf Tournament | Sponsorship | Chapter Sponsors | Sponsorship Opportunities | Leadership | Executive Committee | Board of Directors | Sponsorship Committee | Membership Committee | Education Committee | Projects & Partnerships Committee | REmmys Committee | Golf Tournament Committee | Regions | Young Leaders Committee | Ambassadors Committee | Communications Committee | About | CoreNet Southern California | Message from the President | CoreNet Global | Stay Informed | ©2020 CoreNet Global Southern California. All Rights Reserved. | Live Chat"
"FL","tampa","https://tampa.corenetglobal.org/about/board","0","Skip to main content (Press Enter). | Sign in | Skip auxiliary navigation (Press Enter). | CONTACT US | POLICIES | CORENET GLOBAL | Skip main navigation (Press Enter). | Toggle navigation | PAGE NOT FOUND |  | Sorry! The page you requested was not found. | ©CoreNet Global All Rights Reserved | Powered by Higher Logic | Live Chat"
