firm	domain	emails	context	status
Washington Holdings	waholdings.com	information@waholdings.com	Team News Staff Partners STAFF RIC ANDERSON President & CEO JASON HIZER Executive Vice President & CFO/COO TI || FFFF;} Expertise Investments Team News Staff Partners STAFF RIC ANDERSON President & CEO JASON HIZER Executive || USLLC BRENT LOWER Executive Vice President & Managing Director - R&D DAVID MILLARD Executive Vice President & || DERSON President & CEO JASON HIZER Executive Vice President & CFO/COO TIM HOLT Executive Vice President & Gene	EMAIL
Vulcan Real Estate	vulcan.com		aboration with our community and real estate partners, weΓÇÖre building a future that improves lives, preserve || red by the communal sauna culture of Norway, Founder and CEO Hannah Goldstein is creating something more casua || p; Embracing Change This year, Megan Murphy, Director of Residential Marketing & Leasing, celebrates 20 years || escription":"Through responsible real estate development and our unwavering belief in a greater tomorrow, weΓÇ || P's Developer of the Year," said Ada Healey, Chief Real Estate Officer at Vulcan Real Estate. "This recognitio || icing in Seattle. Ian has also served as the President of the Loren Miller Bar Association which is a chapter || d the companyΓÇÖs 	NAMES-ONLY
VanTrust Real Estate	vantrustrealestate.com	marc.munago@vantrustre.com;keith.earnest@vantrustre.com;info@vantrustre.com;chris.mccluskey@vantrustre.com;bill.baumgardner@vantrustre.com;rich.muller@vantrustre.com;phil.rasey@vantrustre.com;grant.harrison@vantrustre.com	tate and our communities.ΓÇ¥ Dave Harrison - President / CEO Hear From Our Clients ΓÇ£VanTrust was terrific to || developer should be. As a trusted & premier partner, our goal is to exceed expectations with an innovative ap || d a very compressed timeline.ΓÇ¥ Wes Swenson Founder and CEO, Novva Data Centers ΓÇ£VanTrust has been a depend || r People Careers Expertise Overview Services Acquisitions / Dispositions Asset Enhancement Corporate Services || state","description":"Commercial Real Estate Development Services","potentialAction":[{"@type":"SearchAction",	EMAIL
Tolles Development	tollesdevelopment.com		er &gt;&gt;Danielle&#8217;s Story Home About Partners Projects Property Management Purpose Contact Home About || over Property Management Services Jeni Grana Director of Property Management &gt;&gt;Jeni&#8217;s Story Mandy || tion":"WeΓÇÖre committed to the development, acquisition and management of commercial properties that contribu || Tolles Development - Thoughtful Development {"@context":"https://schema.org","@graph":[{"@type":"WebSite","@i || rings the Tolles mission to life. Par Tolles Chief Executive Officer &gt;&gt;Par&#8217;s Story Kyle Rea Chief || was found at this location. Back Home About Partners Projects Property Management Purpose Contact Home About || Page not found - Tolle	NAMES-ONLY
Welty Development	thinkwelty.com		welty.com/","name":"Welty Enterprises | Your Partner for Capital Projects","isPartOf":{"@id":"https://thinkwel || prises delivers customer-centric real estate development, construction, workspace interiors and electric utili || D'); Skip to content Welty Enterprises Welty Development inSITE Advisory Group Welty Construction Welty Genera || ficer, Welty Enterprises Michael Taylor VICE PRESIDENT, WELTY ENTERPRISES Sean Joyce Chief Financial Officer, || es Officer, Welty Enterprises Michael Taylor VICE PRESIDENT, WELTY ENTERPRISES Sean Joyce Chief Financial Offi || &amp; CEO, WELTY Enterprises Leanna Gensler Chief Human Resources Officer, Welty Enterprises Michael Taylor V	NAMES-ONLY
Stanton	stantonpartners.com	info@stantonpartners.com	Home - Stanton Partners : Stanton Partners {"@context":"https:\/\/schema.org","@graph":[{"@type":"WebPage","@ || Page not found - Stanton Partners : Stanton Partners {"@context":"https:\/\/schema.org","@graph":[{"@type":"W || Our Team - Stanton Partners : Stanton Partners {"@context":"https:\/\/schema.org","@graph":[{"@type":"WebPage || About - Stanton Partners : Stanton Partners {"@context":"https:\/\/schema.org","@graph":[{"@type":"WebPage"," || to high-rise office buildings to mixed-used developments. Currently its portfolio totals over $80,000,000 in || people - Stanton Partners : Stanton Partners {"@context":"https:\/\/schema.org","@graph":[{"@type":"WebPage", || Contact Us - Stanton Pa	EMAIL
SSG Commercial	ssgcommercial.com		e so tenants and neighborhoods always have a partner they can count on. Tenants Select an option below: PAY RE || tion","name":"SSG","description":"Commercial Development and Management Commercial Developers and ManagersComm || in. This philosophy isn't new. It's how our principals operate every day ΓÇö through board leadership at the || s every phase of a project in-house ΓÇö from acquisition and design through leasing, construction, and long-te	NAMES-ONLY
R and R Realty Group	rrrealty.com	info@rrrealty.com	n &amp; Design Property Management Brokerage Development Technology Nebraska Division Insights &amp; News Comm || ess is our priority. ΓÇ¥ ΓÇö Mark Rupprecht, President Managed with purpose We believe the right space has the || dent R&#038;R Real Estate Advisors Sadie Lee Vice President of Finance &#038; Chief Accounting Officer R&#038; || s Sadie Lee Vice President of Finance &#038; Chief Accounting Officer R&#038;R Realty Group Jenny Livingston V	EMAIL
RED Development	reddevelopment.com		gin-bottom:0px!important}.corporate-whoweare_partner-image{outline:1px solid #ffffff;outline-offset:-5px}.corp || y and appeal. WHAT WE DO DEVELOPMENT LEASING ACQUISITIONS ASSET MANAGEMENT PROPERTY MANAGEMENT WHAT WE DO DEVE || RED Development | Mixed-Use Commercial Real Estate Leader {"@context":"https:\/\/schema.org","@graph":[{"@typ	NAMES-ONLY
Orion Office REIT	onlreit.com	tenantquestions@onlreit.com;accountspayable@onlreit.com;realestate@onlreit.com;investors@onlreit.com;propertymanagement@onlreit.com;legalteam@onlreit.com	ed by the momentum and grateful to our team, partners, and investors for their continued support. Market/Symbo || ion Properties specializes in the ownership, acquisition and management of a diversified portfolio of high-qua || including operations, leasing, acquisitions, development and dispositions of assets through all stages of the	EMAIL
Neyer Properties	neyer1.com		not quick wins. We get neighborly. Community partnership is part and parcel to every project we undertake. Who || nt Skip to footer About Services Development Acquisitions Asset Management Team Portfolio Newsroom CONTACT US || rties","description":"Commercial Real Estate Development","url":"https://neyer1.com"} img:is([sizes=auto i],[s || our internal jokes actually funny. Dan Neyer President/CEO Chris Dobrozsi, CCIM Executive Vice President, Deve || articipates in a company-wide volunteer day, partnering with local organizations like Freestore Foodbank, Cray || ce President, Development Anthony Evans, CPA Director of Asset Financial Management Jeff Chamot, LEED AP Direc || o main content Sk	NAMES-ONLY
Marnell Properties	marnellproperties.com			NONE
Lockwood Development	lockwooddev.com	info@lockwooddev.com	Page not found &#8211; Lockwood Development img:is([sizes=auto i],[sizes^="auto," i]){contain-intrinsic-size:	EMAIL
Knapp Properties	knappproperties.com		uit & Commercial Development Past Projects & Partnerships Real Estate Investment Real Estate Investment Sale-L || seback Solutions Distressed Asset Consulting Acquisitions Association Management Association Management High-R || ls The Knapp Approach Formula For Excellence Development Development Commercial Land Development Residential L	NAMES-ONLY
KG Investment Properties	kgip.com	skramer@kgip.com;ahunt@kgip.com;jshearer@kgip.com;rgervais@kgip.com;spenn@kgip.com;bmadrid@kgip.com;acoates@kgip.com;jkeene@kgip.com;mkramer@kgip.com	per, structuring joint ventures with capital partners to conceive and create institutional-quality projects th || lizing as an ownerΓÇÖs representative in the acquisition, finance, development, asset management, leasing and || boutique real estate services firm offering development, investment, and property management services to the || Us Who We Are Leadership Services Management Development Investment Markets Seattle Portland Bay Area Case Stu || Morgan Kramer Call Morgan Kramer Steve Penn President - Management Services Bellevue, WA Steve Penn joined KG || eady to put their expertise to work for you! Principals Steve Kramer Principal Bellevue, WA KGIP's co-founder || teve Kramer Principal	EMAIL
Hughes Development	hughesdevelopment.com	info@hughesdevelopment.com	Hughes Development Corporation Please enter password: SELECT PROPERTIES	EMAIL
Hubbell Realty	hubbellrealty.com		ions and projects are for the benefit of our partners, investors and our communities. Our Development Services || com/wp-content/uploads/2026/03/home-Services-Development-2-1280x850-1-1024x680.jpg","url":"https://www.hubbell || onal general contracting, vendor management, estimation, construction and consulting services across the regio || ontent Services Close Services Open Services Development Close Development Open Development Commercial Develop || dedication to excellence. Our Team What Our Partners Are Saying ΓÇ£Hubbell&#8217;s professionalism and organi	NAMES-ONLY
HSL Properties	hslproperties.com		SL is the Southwest&#8217;s premier property development, real estate investment and asset management company. || benchmark for resort living. 2015 Omar named President After more than a decade of significantly contributing || ss Southern Arizona to forming more than 100 partnerships and LLCs, HSL successfully develops, manages, owns a || rizona. 1985 First major apartment community acquisition HSL Properties acquires its first major multi-family || ovation drives our approach to both property development and professional management. New partnerships. Cuttin	NAMES-ONLY
Hendricks Commercial Properties	hendricksgroup.net	les.birbaum@hendricksgroup.net;media@hendricksgroup.net;marketing@hendricksgroup.net	nce the addition of Shannon Eldridge as Vice President of Asset Management and the promotion of Cade Kennedy t || announce the addition of Shannon Eldridge as Vice President of Asset Management and the promotion of Cade Kenn || ,"storesFixPricingPrefixLayout":"B","ecomShowEstimateDeliveryOnSubdivisionError":"B","specs.stores.ProductPage || RCIAL PROPERTIES LEADERSHIP TEAM Rob Gerbitz President &amp; CEO Jacquie Seymour Chief Operating Officer Mark || Leasing Les Birbaum Senior Vice President of Acquisitions &amp; Dispositions Kari Schutz Senior Vice President || ement Troy Anderson Senior Vice President of Development Cassie Sullivan Senior Vice President of Finance Andy || ski Chief Legal O	EMAIL
Harbor Commercial Partners	harborcommercialpartners.com	info@harborcommercialpartners.com;tradd.varner@harborcommercialpartners.com	of Experience Harbor Commercial PartnersΓÇÖ principals have a combined 80+ year track record of providing bes || Harbor Commercial Partners | Commercial Real Estate WebFont.load({ google: { families: ["Roboto:300,400,500,6 || Whether in the market for income-generating acquisitions or asset dispositions, Harbor Commercial Partners ha || Contact (843) 994-7198 info@harborcommercialpartners.com 146 Williman Street, 300 &amp; 400 Charleston, SC 29 || vestment Services Jeremy Willits Senior Vice President Office &amp; Investment Services Chris Saltiel Senior A || Our Team | Harbor Commercial Partners @media (min-width:992px) {html.w-mod-js:not(.w-mod-ix) [data-w-id="7fab || trial &amp; Investmen	EMAIL
Harbert Realty Services	harbertrealty.com	info@harristynes.com	rty/Asset Management Leasing &amp; Brokerage Development Investment Sales Retail Multifamily About Team Locati	EMAIL
HAL Real Estate	halrealestate.com	info@halrealestate.com	Hal Real Estate : Seattle : Real Estate Development document.documentElement.classList.add('wf-loading') @key || projects News Contact Team JONATHAN MANHEIM President Jonathan Manheim serves as President where he oversees || rious investment roles with Clairvue Capital Partners (now StepStone Real Estate), the KOR Group, and Credit S || io. Prior to joining HAL, Jonathan served as Director of Finance and Development for American Life. Earlier in || Company and Quarterra where he &nbsp;managed acquisition, financing, construction, leasing and disposition of || , Jonathan served as Director of Finance and Development for American Life. Earlier in his career, he held var || tate and Urban Studi	EMAIL
Goodman Real Estate	goodmanre.com		lined execution. Our team works closely with partners and investors to identify growing markets and deliver st || gs every stage of investment under one roof. Acquisition Our acquisitions team sources high-quality multifamil || l performance but also continuity and value. Development From initial concept to completion, our development p || ef Investment Officer ΓåÆ --> Johnny Goodman President - Capital Investments ΓåÆ --> Fred Eastman Chief Financ || management. Executive Team --> John Goodman Founder &amp; Chairman, Goodman Real Estate ΓåÆ --> George Petrie || Chief Financial Officer ΓåÆ --> Eric Rogers Vice President - Investments ΓåÆ --> Chad Lenchuk Vice President || e Executive Chairma	NAMES-ONLY
Gershman Commercial Real Estate	gershmancre.com	partnermstuder@gershmancre.com;partnercfox@gershmancre.com;info@gershmancre.com;cfox@gershmancre.com;mstuder@gershmancre.com	r Maintenance Engineer Andy Bagy Senior Vice President Tim Balk, MBA Senior Vice President Kristen Beckmann Pr || ect Coordinator Property Management Tim Elli Principal Tom Erman Senior Vice President Randy Farley Senior Mai || nt Accounting Chris Fox, CCIM, SIOR Managing Partner Dan Freeland, CCIM, SIOR Principal Jenny Gross Senior Pro || mann Property Administrator Theresa Biermann Director of Marketing Nicole Blalock Office Administrator Dale Bo || Senior Maintenance Engineer Andy Bagy Senior Vice President Tim Balk, MBA Senior Vice President Kristen Beckma || ease contact: Chris Fox, CCIM, SIOR Managing Partner cfox@gershmancre.com For more information about our Prope	EMAIL
Franklin Real Estate Development	franklinredev.com			NONE
Eucalyptus Real Estate	eucalyptusrealestate.com		y professional looking to expand your career development or new to the industry and eager to learn, Eucalyptus	NAMES-ONLY
Continental Properties	cproperties.com		ith Continental Investor Portal Income Funds Development Funds Careers Continental Careers Internships Careers || ntal Cares was formed to identify charitable partners as part of ContinentalΓÇÖs charitable giving campaign. T || States. 1989 In memory of ContinentalΓÇÖs co-founder Rich Bell, the first Rich Bell Award was presented. This	NAMES-ONLY
Broe Real Estate Group	broerealestate.com		l Office .st0{fill:currentcolor;} Industrial Development Creating Value and GeneratingΓÇ¿ Returns in a Fully I || 4288156487.jpg");} Brian Chen Executive Vice President, Portfolio Management With Broe Real Estate Since 2026 || brown-web.jpg");} Dean Brown SVP, Industrial Development With Broe Real Estate Since 2018 Read Bio .e-loop-ite || -e1774288156487.jpg");} Brian Chen Executive Vice President, Portfolio Management With Broe Real Estate Since || anagement capabilities as well as investment partnership opportunities. Broe Real Estate GroupΓÇÖs managed inv || d returns for owners and investors, includes acquisitions, construction management, asset management, leasing || uisitions Milan Gut	NAMES-ONLY
Broadstone	broadstone.com		eers Media Room Portfolio Portfolio Overview Acquisitions Acquisitions Overview Investment Criteria Transactio || n to its Committed Pipeline of Build-to-Suit Developments Broadstone Net Lease, Inc. Announces Pricing of Publ || the Company, including as our Executive Vice President and Chief Operating Officer from 2018 to 2023, our Gene || estment and asset management firm, including partner from 1997 through 2007 and President from 2003 through 20 || r. Coke currently serves as President and Co-Founder of Terreno Realty Corp. (NYSE: TRNO), a publicly traded R || om 2003 through 2007. Ms. Hawkes served as a Managing Director in Real Estate Investment Banking at CS First B	NAMES-ONLY
Brandywine Realty Trust	brandywinerealty.com		hiladelphia Austin Washington D.C. _linkedin_partner_id = "330641"; window._linkedin_data_partner_ids = window || hip Product Offerings Careers Our Properties Development Investor Relations Responsibility Social Policies Env || requested page could not be found. _linkedin_partner_id = "330641"; window._linkedin_data_partner_ids = window || P. Pizzi Trustee View Bio Gerard H. Sweeney President, Chief Executive Officer and Trustee View Bio Executive	NAMES-ONLY
Branch Properties	branchprop.com	kscruggs@branchprop.com;jshannon@branchprop.com;rwiles@branchprop.com;kwoodman@branchprop.com;leasingsbauer@branchprop.com;leasingrwiles@branchprop.com;robrien@branchprop.com;bcoppels@branchprop.com;sbauer@branchprop.com	lue for tenants, communities, and investment partners.","location":{"@id":"https://www.branchprop.com/#place"} || erve. Our team brings extensive expertise in acquisition analysis, due diligence, development, leasing, proper || Grocery-Focused Retail Development - Branch Properties {"@context":"https://schema.org","@graph":[{"@type":"P || set Manager View full bio Jeremy Little Vice President - Accounting View full bio Richard Wiles Senior Directo || perty Manager View full bio Alina Bikineyeva Managing Director View full bio Nathalie Burke Asset Manager View || ccounting View full bio Richard Wiles Senior Director of Leasing View full bio Sarabeth Bauer Director of Mark	EMAIL
Bishop Ranch Sunset Development	bishopranch.com		t,"script","hs-analytics",300000); _linkedin_partner_id = "3539673"; window._linkedin_data_partner_ids = windo || om/wp-content/themes/Bishop-Ranch/blocks/acf/president_message/president_message.css */ /*# sourceURL=https:// || ver the past 20 years has worked on both the principal and brokerage sides representing institutional owners a || dth: 960px) { } Leadership Team Masud Mehran Founder (1920-2013) Masud Mehran (1920-2013) founded Sunset Devel || .priority)}),gform.hooks[o][r]=e)}}); Sunset Development Team {"@context":"https:\/\/schema.org","@graph":[{"@ || velopment Group. In his prior role as Senior Vice President and General Manager, Alex was responsible for the || ÇÖs Bishop Ranch.	NAMES-ONLY
