firm	domain	emails	context	status
Young Contracting	youngcontracting.com	info@youngcontracting.com	sociated General Contractors. Gary is a past-President of AGC Georgia, SIR Award recipient, and a Life Governo || nager and subsequently earned a promotion to Vice President. In 2008, his project leadership and contributions || and entrepreneurial spirit leads the team in business development. Through his leadership and dedication to ex	EMAIL
White Construction	whiteconst.com		dent READ BIO Rick Andrews Vice President of Estimating READ BIO Brad Barber Vice President of Operations READ || me Chairman, and Steve Burch was promoted to President and COO. 2021 50th Anniversary of White Construction Ce || tature, we remain a family business offering principal involvement in every project. From healthcare facilitie || PLE Neel White CHAIRMAN READ BIO Guy H. White CEO READ BIO Rob Baugher President & Chief Operating Officer REA || Financial Officer READ BIO Neal Moon Senior Vice President - Austin Regional Director READ BIO Chad Pippin Se || rship Transition Steve Burch was promoted to Chief Operating Officer (COO), ensuring continued leadership cont || te 100 Ridgeland,	NAMES-ONLY
Wayne Contracting	waynecontracting.com	info@waynecontracting.com		EMAIL
Villalobos Builders	villalobosbuilders.com			NONE
Van Hoose Construction	vhcon.com		. & Design/Build & Construction Management & Preconstruction & Multi-Family Projects & General Contracting & H || ocus on your long-term goals. Jeff Van Hoose President, Owner Sydney Coon CFO Griffin Van Hoose COO Brandon Ch || oon CFO Griffin Van Hoose COO Brandon Cheney Vice President of Construction Ready to Build? Meet With Our Team || ilities and service offerings. Jim served as President until 2007, guiding the firm and laying the foundation	NAMES-ONLY
Trivel Construction	trivelinc.com	estimates@trivelinc.com		EMAIL
Total Construction	total-construction.net			NONE
Stevens Leinweber Construction	stevensleinweber.com	cgreen@stevensleinweber.com;rmilmont@stevensleinweber.com;tdana@stevensleinweber.com;kisrael@stevensleinweber.com;rpark@stevensleinweber.com;fsandstedt@stevensleinweber.com;amack@stevensleinweber.com;rmasi@stevensleinweber.com;cclary@stevensleinweber.com;jgordon@stevensleinweber.com;bswope@stevensleinweber.com;ghardwick@stevensleinweber.com;info@stevensleinweber.com;dpeterson@stevensleinweber.com;tfyffe@stevensleinweber.com;dzipser@stevensleinweber.com;aashton@stevensleinweber.com;mpeterson@stevensleinweber.com;jgodwin@stevensleinweber.com;rpinnell@stevensleinweber.com;epowell@stevensleinweber.com	dividual project, through his involvement in preconstruction efforts and seeing that the quality standards SLC || est it can be Leadership Team Jamie Godwin / President/CEO View Bio Jamie Godwin / President/CEO jgodwin@steve || f the company that Erik and SLC President and CEO Jamie Godwin launched immediately after Erik joined SLC in 2 || dwin / President/CEO Erik Powell / Executive Vice President View Bio Erik Powell / Executive Vice President ep || ut the process to accomplish their goals and business development objectives. Prior to joining SLC, JamieΓÇÖs	EMAIL
Stevens Construction	stevensconstruction.com		i-Unit Structures Concrete Structures Safety Preconstruction Construction Self-Performed Work Merit Shop Philo || kee office with a Jim Harmon Jim is the Vice President &#8211; Minnesota for Stevens. His first job in constru || ilwaukee office with a Jim Harmon Jim is the Vice President &#8211; Minnesota for Stevens. His first job in co	NAMES-ONLY
Source Planning and Construction	sourcesf.com	info@sourcesf.com	e throughout the construction industry, from estimator to design and construction management, Chris speaks eve || ,&nbsp;Director of Project Management | Vice President This Source executive takes calm to a new level. No mat || sp; Sam Perry,&nbsp;Project Executive |&nbsp;Principal Sam credits SourceΓÇÖs solid reputation to the teamΓÇÖs || ntini,&nbsp;Director of Project Management | Vice President This Source executive takes calm to a new level. N	EMAIL
