id,name,domain,fit_score,reason
"347345426154","BISCAYNE CONTRACTORS, INC","biscayne-contractors.com","100","MANUAL: 40s crawl ceiling hit (TIMEOUT: company biscayne-contractors.com exceeded 40000ms)"
"326284294902","KORTE CONSTRUCTION COMPANY","korteco.com","99","MANUAL: no diversity/SBLO page found"
"329725676224","Pogue Construction","pogueconstruction.com","96","MANUAL: no diversity/SBLO page found"
"326179945201","S. J. AMOROSO CONSTRUCTION CO., LLC","sjamoroso.com","94","MANUAL: no diversity/SBLO page found"
"332014506693","Chasco Constructors","chasco.com","94","MANUAL: no diversity/SBLO page found"
"329650085577","Lee Lewis Construction","leelewis.com","92","MANUAL: no diversity/SBLO page found"
"332334079723","Forrester Construction","forresterconstruction.com","92","MANUAL: no diversity/SBLO page found"
"336926753492","Wright Building Systems","wrightbuildingsystems.com","90","MANUAL: no diversity/SBLO page found"
"319042454243","Big-D Construction","bigdconstruction.com","89","MANUAL: no diversity/SBLO page found"
"329727487715","Harkins Builders","harkinsbuilders.com","89","MANUAL: no diversity/SBLO page found"
"154657411811","Ventana Construction","ventanaconstruction.com","88","MANUAL: no diversity/SBLO page found"
"329322873548","CBG Building Company","cbgbuildingcompany.com","88","MANUAL: no diversity/SBLO page found"
"332343069404","Weil Construction","weilconstruction.com","88","MANUAL: no diversity/SBLO page found"
"331817989826","RQ Construction","rqconstruction.com","87","MANUAL: no diversity/SBLO page found"
"331838815937","Tellepsen","tellepsen.com","87","MANUAL: no diversity/SBLO page found"
"330057459424","Brinkmann Constructors","brinkmannconstructors.com","86","MANUAL: no diversity/SBLO page found"
"330057471720","Hill & Wilkinson","hwgc.com","86","MANUAL: no diversity/SBLO page found"
"332314614477","Hess Construction","hessconstruction.com","86","MANUAL: no diversity/SBLO page found"
"154510798554","Knutson","knutsonconstruction.com","85","MANUAL: no diversity/SBLO page found"
"331819420382","Berglund Construction","berglundco.com","85","MANUAL: no diversity/SBLO page found"
"332209057476","Reeves Young","reevesyoung.com","85","MANUAL: no diversity/SBLO page found"
"331080323812","McCownGordon Construction","mccowngordon.com","84","MANUAL: no diversity/SBLO page found"
"335340463809","Johnson-Laux Construction","johnson-laux.com","84","MANUAL: no diversity/SBLO page found"
"346971776746","Adolfson & Peterson Construction","a-p.com","84","MANUAL: 40s crawl ceiling hit (TIMEOUT: company a-p.com exceeded 40000ms)"
"331067777738","New South Construction","newsouthconstruction.com","83","MANUAL: no diversity/SBLO page found"
"332357709524","Ganneston Construction","gannestonconstruction.com","83","MANUAL: no diversity/SBLO page found"
"332388957882","LEGO Construction Co.","legocc.com","83","MANUAL: no diversity/SBLO page found"
"326259522250","ESTES BROS. CONST. INC.","estesbros.com","82","MANUAL: no diversity/SBLO page found"
"329537380055","Level 10 Construction","level10gc.com","82","MANUAL: no diversity/SBLO page found"
"330344193758","MELTECH CORPORATION, INC.","meltechcorp.com","82","MANUAL: no diversity/SBLO page found"
"331819420388","Saunders Construction","saundersinc.com","82","MANUAL: no diversity/SBLO page found"
"339651834576","Crossland Construction","crossland.com","82","MANUAL: no diversity/SBLO page found"
"341102562036","Rogers-O'Brien Construction","r-o.com","82","MANUAL: no diversity/SBLO page found"
"343804844785","Engineered Structures, Inc. (ESI Construction)","esiconstruction.com","82","MANUAL: no diversity/SBLO page found"
"326179943142","HARPER CONSTRUCTION COMPANY, INC.","harperconstruction.com","81","MANUAL: no diversity/SBLO page found"
