"bestTier","recipient","awards","totalAmt","states","topNAICS","topAgency","sampleAward","sampleDesc","recipient_id","bd_engine_source"
"1","RRDS INC","3","5756768","CA;PA;MD","@{code=337215; description=SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING}","Department of Defense","W9128F25FA215","BALLISTIC PANEL CONFIGURATIONS AND FABRIC SKINS IN THE QUANTITIES AND LOCATIONS IDENTIFIED IN THE MASTER FACILITY LISTING FOR FY25","1186194a-aad6-7bf5-5a15-7f82bfedbc12-C","SAM/USASpending CA-scope harvest"
"1","HOUSTON-STARR DOORS, LLC","1","571505","DC","@{code=332321; description=METAL WINDOW AND DOOR MANUFACTURING}","Department of Defense","HQ003421C0095","BULLET RESISTANT DOOR AND FRAME ASSEMBLIES","3dc167cb-669a-9021-6cd1-bc3dbe1f3310-C","SAM/USASpending CA-scope harvest"
"1","W.W. GRAINGER, INC.","44","339715","IL","@{code=444110; description=HOME CENTERS}","General Services Administration","47QSSC26FBC39","BALLISTIC SAFETYGLASSES,ASSORTED,ANTIFOG","02d96557-827b-7983-b39e-007f84487932-C","SAM/USASpending CA-scope harvest"
"1","NORSHIELD SECURITY PRODUCTS, LLC","2","332490","KY;AL","@{code=332321; description=METAL WINDOW AND DOOR MANUFACTURING}","Department of Defense","W912HZ26FA091","W912HZ26Q7560- FORCED ENTRY/BALLISTIC RESISTANT (FEBR): NORSHIELD SECURITY PRODUCTS, LLC","456b4e2e-0e5a-af5c-7e5e-442197736eb7-C","SAM/USASpending CA-scope harvest"
"1","VECTRUS FEDERAL SERVICES GMBH","1","177636","","@{code=561210; description=FACILITIES SUPPORT SERVICES}","Department of Defense","W564KV25FA123","THIS PROJECT RENOVATES BALL STOP WALL #3 AT BUILDING 3911, INCLUDING DISMANTLING, CONCRETE REPAIR, BALLISTIC STEEL INSTALLATION, AND NEW WOODEN CLADDING","fc75984d-5ba9-5f77-6c8a-0a787e350d5f-C","SAM/USASpending CA-scope harvest"
"1","SUPPLYCORE LLC","4","101916","IL","@{code=423610; description=ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS}","Department of Defense","SPE8E326FJ2X4","4572078487!BULLET RESISTANT GLAZING MATERIAL, LEVEL","038feb1d-f65f-cb60-0833-9e70db12d7b7-C","SAM/USASpending CA-scope harvest"
"1","IDI CONSTRUCTION LLC","2","97820","IL","@{code=236220; description=COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION}","Department of Defense","N4008525F5076","THE CONTRACTOR SHALL PERFORM ALL WORK REQUIRED TO REPLACE TWO COSMETICALLY DEFECTIVE BULLET RESISTANT WINDOWS AT BUILDING 6450, ALSO REFERRED TO AS GATE 5, ONBOARD NAVAL STATION GREAT LAKES.","8bf6b388-0a35-a0d1-e5af-c0438379d8a4-C","SAM/USASpending CA-scope harvest"
"1","JJ CONTRACTING CORP","1","67109","NY","@{code=236220; description=COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION}","Department of Defense","W911S226FA072","MDC-26000-6J, REPLACE BULLET RESISTANT GLASS, 11464","8990a49e-26dc-3908-8f3f-ea719b65fd9c-C","SAM/USASpending CA-scope harvest"
"1","ARCHITECTURAL SPECIALTIES, LLC","1","56131","SD","@{code=238210; description=ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS}","Department of Homeland Security","70US0926P70092847","INSTALLATION AND REMOVAL OF BALLISTIC GLASS","17c7831f-c4a0-eb76-4bc2-b1a731cd9626-C","SAM/USASpending CA-scope harvest"
"1","CABLE GLASS, L.L.C","1","50000","IA","@{code=238150; description=GLASS AND GLAZING CONTRACTORS}","Department of Homeland Security","70US0925P70092502","BALLISTIC GLASS INSTALLATION AND REMOVAL","c68c8557-141f-1114-b4ae-77a4d3a7efc4-C","SAM/USASpending CA-scope harvest"
"1","AMCO METAL PRODUCTS INC","2","35700","DC","@{code=238150; description=GLASS AND GLAZING CONTRACTORS}","Department of Homeland Security","70US0926P70092722","INSTALLATION AND REMOVAL OF BALLISTIC GLASS","95179a43-c370-6f21-e59c-0f9440e418c1-C","SAM/USASpending CA-scope harvest"
"1","OSPREY MANAGEMENT LLC","1","20106","KY","@{code=236220; description=COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION}","Department of Defense","W9124825FA079","JOC REPLACE BALLISTIC DOORS IN BLDG. 6220","6c843022-3423-a327-ef51-76e2af108f8a-C","SAM/USASpending CA-scope harvest"
